Location,Date,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,Temperature,Humidity,AQI_Class
Kathmandu,2024-01-01,2024,1,1,21,328,156.48,249.22,38.91,1.01,33.26,23.33,18.7,47.8,Hazardous
Kathmandu,2024-01-01,2024,1,1,22,342,163.3,293.36,46.93,1.19,8.44,38.18,16.3,38.7,Hazardous
Kathmandu,2024-01-01,2024,1,1,23,268,127.97,222.35,27.61,0.7,19.77,29.5,15.2,38.5,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,0,196,93.53,169.3,22.02,1.2,34.26,77.83,18.5,40.9,Unhealthy
Kathmandu,2024-01-02,2024,1,2,1,177,84.46,181.45,39.43,0.49,19.04,14.1,15.0,33.7,Unhealthy
Kathmandu,2024-01-02,2024,1,2,2,155,73.84,124.46,36.92,1.16,39.84,48.9,19.1,35.9,Unhealthy
Kathmandu,2024-01-02,2024,1,2,3,175,83.67,167.58,58.75,0.82,23.98,62.36,17.3,38.5,Unhealthy
Kathmandu,2024-01-02,2024,1,2,4,225,107.28,198.68,58.43,0.37,11.5,51.65,18.9,39.1,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,5,205,97.9,193.12,55.61,0.52,25.81,53.36,20.0,42.9,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,6,225,107.4,200.41,48.65,0.51,18.85,57.02,23.3,47.5,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,7,302,143.96,246.17,22.9,0.71,39.95,79.73,22.7,55.9,Hazardous
Kathmandu,2024-01-02,2024,1,2,8,360,171.52,289.12,55.17,0.63,10.52,68.36,26.6,62.5,Hazardous
Kathmandu,2024-01-02,2024,1,2,9,284,135.52,270.03,46.16,0.31,33.6,30.96,23.1,52.6,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,10,223,106.59,169.9,42.13,0.55,26.17,60.23,24.9,66.4,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,11,222,105.95,174.02,39.54,1.11,34.61,16.46,28.7,66.8,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,12,186,88.66,133.21,30.48,0.97,24.31,39.94,30.7,73.1,Unhealthy
Kathmandu,2024-01-02,2024,1,2,13,169,80.71,121.6,56.16,0.79,34.21,50.78,33.4,78.1,Unhealthy
Kathmandu,2024-01-02,2024,1,2,14,204,97.51,167.31,54.43,1.11,12.35,27.47,29.8,80.7,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,15,183,87.29,137.21,36.26,0.86,10.41,75.09,28.4,66.2,Unhealthy
Kathmandu,2024-01-02,2024,1,2,16,263,125.3,259.05,49.46,0.6,37.58,66.16,21.9,73.0,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,17,256,121.97,256.74,51.49,0.4,35.53,70.1,24.7,66.2,Very_Unhealthy
Kathmandu,2024-01-02,2024,1,2,18,325,154.98,282.4,29.1,0.32,11.76,32.98,25.6,62.6,Hazardous
Kathmandu,2024-01-02,2024,1,2,19,431,205.5,432.59,45.66,0.66,39.34,47.54,21.5,59.5,Hazardous
Kathmandu,2024-01-02,2024,1,2,20,410,195.59,426.25,30.62,0.4,20.21,61.0,17.6,59.4,Hazardous
Kathmandu,2024-01-02,2024,1,2,21,454,216.66,372.56,35.41,0.82,13.92,59.61,14.5,46.9,Hazardous
Kathmandu,2024-01-02,2024,1,2,22,387,184.45,346.19,46.83,0.63,7.45,56.5,15.1,43.7,Hazardous
Kathmandu,2024-01-02,2024,1,2,23,218,103.84,179.77,48.79,0.57,15.82,38.59,12.8,48.0,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,0,182,87.1,138.41,47.09,1.11,26.54,31.07,15.0,29.3,Unhealthy
Kathmandu,2024-01-03,2024,1,3,1,218,104.14,196.16,37.2,0.82,27.91,42.55,15.9,35.7,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,2,183,87.46,160.16,26.79,0.38,23.04,54.31,15.6,40.8,Unhealthy
Kathmandu,2024-01-03,2024,1,3,3,176,84.04,145.77,46.91,0.5,11.97,11.71,17.7,29.6,Unhealthy
Kathmandu,2024-01-03,2024,1,3,4,201,95.79,200.67,45.19,0.47,29.37,44.61,20.3,41.4,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,5,225,107.4,179.44,50.04,0.99,8.73,39.76,19.8,40.5,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,6,283,135.19,251.79,53.93,0.71,33.05,56.73,26.5,47.9,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,7,317,151.43,331.85,55.66,0.85,30.17,45.33,20.0,44.3,Hazardous
Kathmandu,2024-01-03,2024,1,3,8,359,171.37,364.68,30.37,0.52,27.32,63.61,23.8,54.8,Hazardous
Kathmandu,2024-01-03,2024,1,3,9,275,131.18,244.63,23.1,0.56,14.51,32.38,26.5,57.9,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,10,241,115.04,191.18,22.57,0.67,23.99,39.1,28.7,62.8,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,11,183,87.61,144.11,43.36,0.93,34.99,63.59,25.9,73.3,Unhealthy
Kathmandu,2024-01-03,2024,1,3,12,198,94.72,165.39,58.14,0.68,31.16,48.23,30.1,72.5,Unhealthy
Kathmandu,2024-01-03,2024,1,3,13,158,75.56,145.24,37.43,0.33,16.76,57.54,30.0,77.1,Unhealthy
Kathmandu,2024-01-03,2024,1,3,14,188,89.88,164.22,21.08,0.65,24.75,11.9,29.6,78.9,Unhealthy
Kathmandu,2024-01-03,2024,1,3,15,225,107.4,209.42,22.01,0.64,12.41,32.88,29.1,77.7,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,16,224,106.88,216.59,23.28,0.32,23.88,79.99,24.1,73.8,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,17,242,115.63,201.78,46.07,0.98,38.24,23.96,22.0,63.5,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,18,333,158.78,252.19,28.72,0.93,31.84,21.75,22.1,62.5,Hazardous
Kathmandu,2024-01-03,2024,1,3,19,327,156.18,300.65,52.77,1.17,8.78,11.8,19.9,58.2,Hazardous
Kathmandu,2024-01-03,2024,1,3,20,370,176.32,382.75,23.04,0.92,26.95,17.13,20.8,50.0,Hazardous
Kathmandu,2024-01-03,2024,1,3,21,405,192.88,393.61,24.84,1.19,32.39,34.3,17.9,45.4,Hazardous
Kathmandu,2024-01-03,2024,1,3,22,288,137.2,254.38,52.89,0.39,38.63,54.49,15.9,40.8,Very_Unhealthy
Kathmandu,2024-01-03,2024,1,3,23,302,144.11,299.76,49.35,1.17,14.45,66.57,13.7,36.7,Hazardous
Kathmandu,2024-01-04,2024,1,4,0,174,83.06,149.91,54.07,1.05,8.03,71.71,13.5,37.3,Unhealthy
Kathmandu,2024-01-04,2024,1,4,1,180,86.16,143.95,35.16,0.33,34.78,22.73,11.6,36.9,Unhealthy
Kathmandu,2024-01-04,2024,1,4,2,204,97.47,169.42,31.05,0.31,38.18,15.99,18.5,39.5,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,3,175,83.81,167.96,47.62,0.88,22.18,65.51,13.0,36.2,Unhealthy
Kathmandu,2024-01-04,2024,1,4,4,212,101.08,200.56,38.93,0.78,19.89,62.22,18.8,35.9,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,5,242,115.42,199.86,30.06,0.41,11.74,18.37,19.5,37.8,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,6,212,101.39,165.23,48.98,1.18,23.36,29.81,21.2,46.0,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,7,345,164.6,258.48,27.18,0.31,23.69,29.2,24.6,52.5,Hazardous
Kathmandu,2024-01-04,2024,1,4,8,381,181.74,361.33,39.64,1.09,25.09,42.86,25.6,60.7,Hazardous
Kathmandu,2024-01-04,2024,1,4,9,355,169.19,305.95,57.64,0.73,33.77,38.05,27.9,61.4,Hazardous
Kathmandu,2024-01-04,2024,1,4,10,287,136.75,210.26,32.15,1.19,9.15,63.51,30.2,68.0,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,11,238,113.36,218.15,40.9,0.71,20.5,70.21,30.1,66.4,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,12,217,103.61,200.45,57.9,0.49,12.39,56.23,29.9,67.3,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,13,176,84.16,135.5,20.11,0.71,25.78,30.39,30.1,75.7,Unhealthy
Kathmandu,2024-01-04,2024,1,4,14,202,96.28,191.8,56.96,1.01,26.88,56.28,32.0,69.2,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,15,213,101.85,219.34,45.91,1.12,33.93,15.0,25.4,76.6,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,16,232,110.74,224.17,24.97,0.92,29.49,75.99,27.5,69.3,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,17,251,119.55,221.21,21.59,0.69,16.28,27.53,23.3,69.2,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,18,383,182.46,380.46,59.98,0.91,14.43,12.82,24.8,56.3,Hazardous
Kathmandu,2024-01-04,2024,1,4,19,328,156.35,317.3,56.64,0.46,25.49,54.43,17.1,61.2,Hazardous
Kathmandu,2024-01-04,2024,1,4,20,375,178.83,311.8,54.31,0.6,29.28,30.18,18.0,52.0,Hazardous
Kathmandu,2024-01-04,2024,1,4,21,417,198.72,429.56,38.19,0.58,16.31,77.91,17.3,45.2,Hazardous
Kathmandu,2024-01-04,2024,1,4,22,284,135.33,296.59,36.53,0.47,17.66,62.95,16.4,42.3,Very_Unhealthy
Kathmandu,2024-01-04,2024,1,4,23,232,110.9,214.9,41.97,1.13,20.33,58.88,14.4,38.2,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,0,234,111.68,215.12,42.03,0.8,8.26,79.46,17.7,37.8,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,1,207,98.98,211.72,53.29,0.75,30.08,45.62,13.3,36.2,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,2,190,90.92,198.77,35.34,1.13,22.79,71.55,18.8,35.2,Unhealthy
Kathmandu,2024-01-05,2024,1,5,3,221,105.62,222.32,36.6,1.14,22.77,67.44,15.8,42.7,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,4,196,93.8,179.23,25.94,0.78,17.08,48.63,19.6,42.3,Unhealthy
Kathmandu,2024-01-05,2024,1,5,5,215,102.62,192.97,27.55,0.93,25.01,26.35,18.2,41.8,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,6,256,122.04,246.67,35.44,0.9,33.73,78.66,21.4,43.0,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,7,256,121.99,225.28,43.61,1.08,35.6,40.82,26.4,50.9,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,8,302,143.89,288.6,26.17,0.72,38.92,33.7,25.6,50.1,Hazardous
Kathmandu,2024-01-05,2024,1,5,9,334,159.51,316.62,54.09,1.07,18.3,32.17,25.4,53.9,Hazardous
Kathmandu,2024-01-05,2024,1,5,10,246,117.45,247.9,45.25,1.13,39.91,62.27,25.6,66.5,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,11,217,103.57,186.82,54.9,0.7,29.29,73.24,32.0,72.4,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,12,234,111.8,190.65,41.25,0.81,32.74,21.9,31.0,70.7,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,13,205,97.7,151.95,29.63,1.12,10.01,42.28,31.6,70.3,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,14,198,94.38,142.19,47.1,0.44,20.46,34.19,30.5,77.9,Unhealthy
Kathmandu,2024-01-05,2024,1,5,15,163,77.83,148.76,30.0,1.06,11.97,36.93,26.3,71.1,Unhealthy
Kathmandu,2024-01-05,2024,1,5,16,206,98.39,186.97,31.81,1.18,28.04,29.21,26.2,61.1,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,17,223,106.26,201.48,21.96,0.85,22.39,73.29,22.8,63.1,Very_Unhealthy
Kathmandu,2024-01-05,2024,1,5,18,302,144.15,277.47,44.84,0.91,30.23,56.14,25.5,61.6,Hazardous
Kathmandu,2024-01-05,2024,1,5,19,411,196.06,409.14,45.85,0.58,20.43,50.57,16.9,53.9,Hazardous
Kathmandu,2024-01-05,2024,1,5,20,390,186.1,317.6,25.29,0.79,39.0,47.16,17.1,55.0,Hazardous
Kathmandu,2024-01-05,2024,1,5,21,346,165.08,353.17,52.99,0.73,33.23,62.26,17.1,47.1,Hazardous
Kathmandu,2024-01-05,2024,1,5,22,307,146.28,318.02,54.41,0.95,39.3,77.71,15.9,51.6,Hazardous
Kathmandu,2024-01-05,2024,1,5,23,312,148.82,307.06,20.56,0.78,20.92,57.1,11.9,46.1,Hazardous
Kathmandu,2024-01-06,2024,1,6,0,184,87.69,182.02,29.35,0.32,35.95,49.3,11.7,39.5,Unhealthy
Kathmandu,2024-01-06,2024,1,6,1,192,91.86,196.64,52.95,1.12,15.58,38.58,14.4,37.1,Unhealthy
Kathmandu,2024-01-06,2024,1,6,2,226,107.96,184.95,55.49,0.42,20.88,56.93,18.8,33.2,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,3,197,93.96,189.82,49.69,0.44,19.52,16.93,18.3,34.3,Unhealthy
Kathmandu,2024-01-06,2024,1,6,4,179,85.69,185.61,37.74,1.16,34.94,16.95,18.1,41.4,Unhealthy
Kathmandu,2024-01-06,2024,1,6,5,219,104.72,207.34,34.35,0.66,11.64,18.55,14.6,37.8,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,6,271,129.18,253.71,20.85,1.01,13.52,18.81,20.2,41.6,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,7,278,132.44,251.01,28.29,0.49,35.44,33.0,27.2,52.7,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,8,382,182.32,273.85,25.2,0.53,11.11,56.27,29.4,56.4,Hazardous
Kathmandu,2024-01-06,2024,1,6,9,297,141.52,214.84,29.52,0.59,11.1,13.67,31.2,60.8,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,10,253,120.68,244.02,40.53,0.4,22.63,76.18,26.5,58.1,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,11,221,105.36,161.23,40.86,0.71,38.74,14.26,30.6,61.3,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,12,180,85.88,170.07,22.94,0.37,26.29,14.6,30.3,63.6,Unhealthy
Kathmandu,2024-01-06,2024,1,6,13,199,95.23,161.17,33.01,1.2,23.57,41.76,28.0,70.6,Unhealthy
Kathmandu,2024-01-06,2024,1,6,14,191,91.15,181.51,50.76,0.95,12.53,41.61,28.4,78.5,Unhealthy
Kathmandu,2024-01-06,2024,1,6,15,181,86.3,143.25,36.64,0.39,19.94,56.56,26.5,78.0,Unhealthy
Kathmandu,2024-01-06,2024,1,6,16,213,101.85,218.59,23.73,0.39,30.86,66.82,26.8,79.2,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,17,280,133.43,252.11,33.19,0.41,17.38,56.57,21.9,66.5,Very_Unhealthy
Kathmandu,2024-01-06,2024,1,6,18,315,150.26,301.24,34.07,0.82,12.45,55.97,18.0,70.3,Hazardous
Kathmandu,2024-01-06,2024,1,6,19,359,171.31,283.86,34.7,0.99,25.09,66.51,22.9,65.0,Hazardous
Kathmandu,2024-01-06,2024,1,6,20,452,215.52,446.75,21.05,1.14,34.03,28.72,13.5,50.7,Hazardous
Kathmandu,2024-01-06,2024,1,6,21,334,159.48,259.37,33.59,0.31,35.45,49.64,15.8,46.5,Hazardous
Kathmandu,2024-01-06,2024,1,6,22,301,143.46,278.78,28.61,0.68,16.93,35.9,15.7,51.5,Hazardous
Kathmandu,2024-01-06,2024,1,6,23,268,127.78,256.22,23.4,0.35,10.51,53.25,14.7,35.8,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,0,189,90.07,176.85,30.93,0.98,8.98,40.09,12.6,33.4,Unhealthy
Kathmandu,2024-01-07,2024,1,7,1,198,94.41,160.33,46.69,0.34,18.83,51.95,13.3,31.5,Unhealthy
Kathmandu,2024-01-07,2024,1,7,2,213,101.43,167.15,33.12,0.31,31.15,22.3,15.2,37.0,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,3,208,99.23,175.26,53.33,1.03,7.52,70.32,15.7,31.2,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,4,204,97.23,208.55,42.94,0.94,19.62,18.06,18.1,41.1,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,5,194,92.45,140.03,44.73,1.05,37.19,16.17,18.3,47.3,Unhealthy
Kathmandu,2024-01-07,2024,1,7,6,265,126.53,241.95,32.41,0.61,16.66,21.77,20.8,41.0,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,7,306,145.72,270.66,56.24,0.61,30.46,67.33,25.9,53.0,Hazardous
Kathmandu,2024-01-07,2024,1,7,8,349,166.21,266.36,50.41,0.89,11.2,64.1,24.7,56.8,Hazardous
Kathmandu,2024-01-07,2024,1,7,9,350,166.95,308.17,37.96,1.13,24.76,54.47,27.8,53.4,Hazardous
Kathmandu,2024-01-07,2024,1,7,10,218,104.24,202.13,37.69,0.57,14.61,13.93,26.1,65.9,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,11,222,105.85,196.36,22.28,1.05,7.69,70.5,28.9,73.2,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,12,217,103.58,192.13,51.67,1.11,20.74,66.69,27.8,67.4,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,13,203,96.74,189.25,26.03,0.36,8.62,72.94,28.7,78.4,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,14,181,86.27,159.87,37.51,0.7,23.3,21.11,31.6,76.4,Unhealthy
Kathmandu,2024-01-07,2024,1,7,15,218,104.12,183.35,33.53,0.84,32.62,55.31,27.2,78.3,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,16,232,110.48,218.19,46.26,1.12,35.56,33.34,26.4,71.0,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,17,300,143.27,273.34,58.71,0.93,18.72,51.65,25.2,72.0,Very_Unhealthy
Kathmandu,2024-01-07,2024,1,7,18,340,162.17,286.02,46.8,1.05,30.86,57.98,21.3,66.9,Hazardous
Kathmandu,2024-01-07,2024,1,7,19,304,144.87,270.69,34.47,0.63,11.31,24.99,18.7,56.8,Hazardous
Kathmandu,2024-01-07,2024,1,7,20,435,207.43,344.03,53.78,0.39,31.98,68.46,17.3,56.0,Hazardous
Kathmandu,2024-01-07,2024,1,7,21,380,181.38,384.27,50.65,0.42,18.19,21.36,18.1,50.7,Hazardous
Kathmandu,2024-01-07,2024,1,7,22,341,162.83,336.46,36.43,0.91,13.31,41.09,12.1,47.2,Hazardous
Kathmandu,2024-01-07,2024,1,7,23,284,135.32,229.96,41.36,0.58,33.3,42.83,14.3,36.5,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,0,205,98.06,212.11,31.27,0.64,23.46,77.64,12.4,42.1,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,1,194,92.49,191.61,30.0,0.88,35.59,48.82,14.6,33.6,Unhealthy
Kathmandu,2024-01-08,2024,1,8,2,226,107.98,226.31,30.91,1.11,10.16,40.62,17.4,33.5,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,3,229,109.29,236.34,33.98,0.32,6.86,45.14,16.7,40.0,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,4,206,98.19,173.06,53.57,0.88,32.7,19.63,24.4,46.8,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,5,224,106.89,181.79,25.55,0.93,20.7,10.37,21.4,35.4,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,6,272,129.66,270.28,41.11,0.4,15.08,31.08,22.7,38.9,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,7,295,140.75,215.83,38.28,0.4,36.68,51.77,21.0,53.3,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,8,379,180.84,301.88,44.59,0.52,19.58,56.51,26.2,57.6,Hazardous
Kathmandu,2024-01-08,2024,1,8,9,336,160.24,249.97,41.04,0.76,39.59,48.79,28.4,59.9,Hazardous
Kathmandu,2024-01-08,2024,1,8,10,232,110.88,215.67,20.65,1.01,17.07,61.31,30.4,68.0,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,11,213,101.77,197.42,33.3,0.34,24.11,66.95,30.2,62.7,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,12,216,103.0,188.0,52.46,0.36,32.17,42.04,33.1,70.4,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,13,171,81.46,138.92,21.68,1.14,23.04,79.24,31.0,75.0,Unhealthy
Kathmandu,2024-01-08,2024,1,8,14,183,87.6,177.58,51.23,1.08,16.62,18.71,28.5,76.4,Unhealthy
Kathmandu,2024-01-08,2024,1,8,15,222,106.16,186.59,55.79,0.65,39.08,44.73,30.2,70.1,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,16,172,82.04,152.88,23.16,0.84,33.78,48.18,26.1,74.4,Unhealthy
Kathmandu,2024-01-08,2024,1,8,17,220,104.92,180.97,32.26,0.84,19.91,58.28,26.6,72.0,Very_Unhealthy
Kathmandu,2024-01-08,2024,1,8,18,309,147.58,311.25,30.98,1.18,38.18,15.25,22.5,56.5,Hazardous
Kathmandu,2024-01-08,2024,1,8,19,474,225.93,439.73,47.18,1.16,10.0,52.53,17.6,65.6,Hazardous
Kathmandu,2024-01-08,2024,1,8,20,394,187.97,290.81,35.31,0.81,26.18,57.53,17.5,55.7,Hazardous
Kathmandu,2024-01-08,2024,1,8,21,334,159.47,345.12,42.96,0.78,18.93,55.47,14.0,54.7,Hazardous
Kathmandu,2024-01-08,2024,1,8,22,315,150.23,302.71,42.47,0.54,14.11,41.24,16.1,41.0,Hazardous
Kathmandu,2024-01-08,2024,1,8,23,260,123.93,272.33,39.65,0.41,34.85,41.64,13.3,49.5,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,0,213,101.66,158.74,32.78,0.61,7.27,47.95,12.7,34.5,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,1,161,77.06,163.67,57.09,0.87,32.78,45.61,16.1,30.6,Unhealthy
Kathmandu,2024-01-09,2024,1,9,2,205,98.05,156.61,42.16,0.63,33.13,48.62,16.0,35.2,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,3,192,91.67,176.77,59.98,0.95,23.4,63.84,17.8,37.5,Unhealthy
Kathmandu,2024-01-09,2024,1,9,4,203,97.1,211.75,47.2,0.61,35.73,64.62,17.3,34.9,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,5,197,93.95,182.99,37.3,1.12,6.94,18.69,22.1,50.3,Unhealthy
Kathmandu,2024-01-09,2024,1,9,6,263,125.63,216.81,57.64,1.11,34.61,27.54,23.0,44.1,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,7,282,134.76,262.04,32.11,0.78,22.59,21.8,23.1,49.2,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,8,357,170.22,333.83,53.7,0.81,33.88,11.99,25.6,54.0,Hazardous
Kathmandu,2024-01-09,2024,1,9,9,269,128.12,196.26,46.05,0.99,19.58,54.73,26.0,56.1,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,10,219,104.4,177.76,52.19,0.92,15.41,15.11,29.0,69.4,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,11,209,99.53,153.47,28.16,0.85,15.94,60.29,27.6,70.8,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,12,196,93.59,204.3,42.47,0.59,21.33,28.72,26.0,74.9,Unhealthy
Kathmandu,2024-01-09,2024,1,9,13,211,100.59,168.34,35.37,0.85,13.69,70.57,31.1,76.2,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,14,208,99.09,188.7,39.93,0.76,22.46,31.6,30.4,72.4,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,15,237,112.91,171.19,58.67,0.49,17.35,13.54,29.9,72.7,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,16,176,84.2,164.87,53.89,0.69,35.89,60.93,26.1,67.4,Unhealthy
Kathmandu,2024-01-09,2024,1,9,17,266,126.68,257.75,42.81,0.48,24.36,15.15,22.7,72.2,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,18,261,124.68,211.43,24.75,1.18,18.79,65.64,21.9,71.0,Very_Unhealthy
Kathmandu,2024-01-09,2024,1,9,19,365,174.19,302.64,27.96,0.76,22.5,13.17,23.0,57.7,Hazardous
